departement,couvmal,moustiq,bank
Alibori,0.031407035175879394,93.56155778894473,8.103015075376884
Atacora,0.0,84.22008824292759,5.709836491045938
Atlantique,1.7500514721021205,94.74984558369364,21.474161004735436
Borgou,0.5388194954690179,87.33774185647808,8.25373499877541
Collines,0.06040471156750227,95.25823014195107,16.641498036846876
Couffo,0.06966213862765587,95.68094740508533,9.26506443747823
Donga,0.1948368241597662,85.43594739405748,8.79201169020945
Littoral,3.713706954760297,95.23970290344363,39.09520594193113
Mono,0.5231037489102005,96.9485614646905,20.16855565242662
Oueme,0.5147058823529411,97.27941176470588,24.975490196078432
Plateau,1.0841654778887304,91.98288159771755,21.82596291012839
Zou,0.3323639385126714,96.8840880764437,19.692563356875777
