"country","hhid","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","year","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"BEN",3072,3,72,1,2,0,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,3.4246301651001,0,7,0,0,15,0,1,0,0,0,0
"BEN",3082,3,82,1,2,0,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,6.29999995231628,5,6,0,0,53,0,1,0,1,0,0
"BEN",3092,3,92,1,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,0.0755899995565414,2,10,0,0,0,0,1,1,0,0,0
"BEN",3103,3,103,1,2,1,1,1,0,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,3.17234230041504,0,0,0,0,0,0,0,1,0,1,0
"BEN",3113,3,113,1,2,1,1,1,0,0,0,0,1,0,0,1,0,2021,0,0,0,0,0,0,0,1.64745585247874,0,0,0,0,0,0,0,1,0,0,0
"BEN",3123,3,123,1,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,0.0374729987233877,6,8,0,0,10,0,0,1,0,0,0
"BEN",4016,4,16,2,4,1,1,0,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,1.24727940559387,0,2,0,0,0,1,0,0,0,0,0
"BEN",4024,4,24,2,2,0,1,0,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,1.54000002145767,0,0,0,0,16,0,1,0,0,0,0
"BEN",4032,4,32,2,3,0,1,1,0,0,0,0,1,0,0,0,0,2021,1,0,0,0,0,1,0,0.5,0,0,0,0,12,0,0,1,0,0,0
"BEN",4048,4,48,2,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,4.05000007152557,2,0,0,0,10,0,0,1,0,0,0
"BEN",4056,4,56,2,2,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,1.932000041008,3,4,0,0,0,0,0,1,0,0,0
"BEN",4064,4,64,2,2,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,3.29294323921204,2,5,0,0,0,0,1,0,0,0,0
"BEN",4068,4,68,2,2,1,1,1,0,0,0,0,1,0,1,1,0,2021,1,0,0,0,0,1,1,3.01709496974945,0,0,0,0,0,0,0,0,0,0,0
"BEN",4080,4,80,2,2,1,1,1,0,1,0,0,0,1,0,0,0,2021,0,0,0,0,0,0,0,1.01230001449585,0,5,0,0,0,1,0,1,1,0,0
"BEN",4088,4,88,2,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,11.0905244350433,3,0,0,0,40,0,0,0,0,0,0
"BEN",4097,4,97,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,3.30528390407562,2,0,0,0,0,0,0,0,0,0,0
"BEN",4113,4,113,2,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,6.75302678346634,2,3,0,0,3,0,0,0,0,0,0
"BEN",4129,4,129,2,2,0,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,7.85999977588654,4,6,0,0,40,0,1,1,0,0,0
"BEN",5003,5,3,1,2,1,1,0,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,5,3,5,0,0,15,0,0,0,0,0,0
"BEN",5010,5,10,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,3.75,15,8,0,0,23,1,0,0,0,0,0
"BEN",5017,5,17,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1,0,0,0,0
"BEN",5024,5,24,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,2.25,3,11,0,0,9,0,0,0,0,0,0
