,departement,couvmal,moustiq
0,Alibori,0.031407035175879394,93.56155778894473
1,Atacora,0.0,84.22008824292759
2,Atlantique,1.7500514721021205,94.74984558369364
3,Borgou,0.5388194954690179,87.33774185647808
4,Collines,0.06040471156750227,95.25823014195107
5,Couffo,0.06966213862765587,95.68094740508533
6,Donga,0.1948368241597662,85.43594739405748
7,Littoral,3.713706954760297,95.23970290344363
8,Mono,0.5231037489102005,96.9485614646905
9,Oueme,0.5147058823529411,97.27941176470588
10,Plateau,1.0841654778887304,91.98288159771755
11,Zou,0.3323639385126714,96.8840880764437
